,XS,X,Y,Z,sta
0,25124.67,2579654.191808387,166371.17902832542,90.28,133.70000000000002
0,25124.67,2579653.744829969,166370.01167649598,90.15,134.95000000000002
0,25124.67,2579653.412278026,166369.1431667349,90.05,135.88000000000002
0,25124.67,2579652.3824397502,166366.45358811994,89.92,138.76000000000002
0,25124.67,2579651.9998262245,166365.45433495395,89.82,139.83
0,25124.67,2579651.5456961514,166364.26830549526,89.68,141.10000000000002
0,25124.67,2579650.959260467,166362.73673989504,89.62,142.74
0,25124.67,2579650.0331211844,166360.3179869045,88.85,145.33
0,25124.67,2579649.772085788,166359.63625343613,88.61,146.06000000000003
0,25124.67,2579649.657659313,166359.3374113678,88.64,146.38000000000002
0,25124.67,2579649.08195111,166357.8338622115,88.77,147.99
0,25124.67,2579648.2881174395,166355.76064536246,88.04,150.21
0,25124.67,2579647.340523193,166353.28585948408,87.42,152.86
0,25124.67,2579646.825604055,166351.9410701766,86.71,154.3
0,25124.67,2579646.1712276507,166350.23206709832,86.19,156.13000000000002
0,25124.67,2579645.3630906707,166348.12149499074,85.9,158.39000000000001
0,25124.67,2579645.0484178644,166347.29967930284,85.64,159.27
0,25124.67,2579644.508467935,166345.88951829288,85.36,160.78000000000003
0,25124.67,2579643.8362123943,166344.13382114144,85.03,162.66000000000003
0,25124.67,2579643.038802896,166342.05126547776,85.21,164.89000000000001
0,25124.67,2579642.4952771394,166340.6317656532,85.32,166.41000000000003
0,25124.67,2579642.234241743,166339.9500321848,85.39,167.14000000000001
0,25124.67,2579641.186524331,166337.21375949666,85.17,170.07000000000002
0,25124.67,2579640.7681525312,166336.12111818432,85.06,171.24
0,25124.67,2579640.0100771342,166334.14128948163,84.94,173.36
0,25124.67,2579639.9314089324,166333.93583555965,84.93,173.58000000000004
0,25124.67,2579638.590473678,166330.43378007138,84.76,177.33000000000004
0,25124.67,2579638.529684613,166330.2750202226,84.75,177.5
0,25124.67,2579638.5261087855,166330.26568140797,84.75,177.51000000000002
